time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11
0,20,20,20,20,20,20,20,20,20,20,20
38.7727633152043,20.3683918643147,20.3643909806665,20.3603950348166,20.3564128242581,20.3536611119711,20.3514592525354,20.3493683235342,20.3473226189683,20.3453110742119,20.3432753613475,20.1034257075345
98.7727633152043,20.8151211367345,20.8072380737336,20.8003099419954,20.7945161427141,20.7899121071934,20.7857602160934,20.7817342945852,20.7777288219477,20.774430637736,20.7715979673376,20.363343212132
158.772763315204,21.1953085783465,21.1867405699231,21.1794369999198,21.1729984867501,21.1673845258578,21.1620970401744,21.1570177592334,21.1529769892365,21.1490893031834,21.1440486254955,20.6582213259099
218.772763315204,21.5449411207049,21.5366447234556,21.529402121066,21.522662100393,21.5163889959865,21.5109026519322,21.5058062755254,21.5010361991631,21.4957437814334,21.4889580610638,20.9622298513723
278.772763315204,21.8704607145839,21.8626000274589,21.8554433555396,21.8487456465284,21.8428742807783,21.8374184597533,21.8314777771006,21.8254110587614,21.8189723054152,21.812185358549,21.2644458734661
338.772763315204,22.1757529178508,22.1682284860271,22.1617980336856,22.1557978633416,22.1496278080571,22.143375898404,22.1364496754603,22.129915517571,22.1240868483724,22.1189976801668,21.558013694635
398.772763315204,22.464330138802,22.4578082905014,22.4517895376421,22.4454144403287,22.4385041788161,22.4316837914997,22.4251298168082,22.4198109816489,22.4156991033448,22.4126368856089,21.8395199959828
458.772763315204,22.7392178078732,22.7326194271859,22.7260793414135,22.7190240723961,22.7121703314285,22.7063658819008,22.7015534757055,22.6980077883233,22.6958172748551,22.6944243304829,22.1081553498261
518.772763315204,23.000052964091,22.9929303825229,22.9861117478023,22.9796868755724,22.9743265703437,22.9703053198969,22.9674441921897,22.9656318943246,22.9646911630373,22.9639491894882,22.3644024936344
578.772763315204,23.2473590228612,23.2405575889322,23.2349210218925,23.2302551019845,23.226740218456,23.2245839310259,23.2232646341407,23.2223747168128,23.2216890785005,23.2208273142141,22.6091481368136
638.772763315204,23.4838083752171,23.4785996963273,23.4747124355424,23.4719584606357,23.4701500251301,23.4691674648835,23.4684056376822,23.4676222286785,23.4662928985118,23.4642136034207,22.843262039992
698.772763315204,23.7118609680192,23.7084875056833,23.7063753387556,23.7050731601105,23.704135955325,23.7033930629409,23.7024072968788,23.7006523053935,23.6982156161882,23.6960058856633,23.0674366094758
758.772763315204,23.9324769741656,23.9307445996646,23.929727256326,23.9289151648175,23.9280772909431,23.9266332422022,23.9243988312963,23.9222480400866,23.9198946841579,23.9181151609166,23.2821931486586
818.772763315204,24.1456776275334,24.1447398243419,24.1439459274135,24.1428245072378,24.1409974589201,24.1386416207254,24.1363340418363,24.1344938625286,24.1326902391637,24.1308981716798,23.4879144003738
878.772763315204,24.3505810536033,24.3497165807368,24.3481654770516,24.3457706573249,24.3437393469911,24.3415430615028,24.339710170325,24.3383504098263,24.3357831244116,24.333081042546,23.6848244002281
938.772763315204,24.5462581484115,24.5443733442773,24.5421001947709,24.539689470957,24.5380122139862,24.5363462563479,24.5343483290683,24.532071125782,24.5285369512521,24.5248986760824,23.8730280334991
