time,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10
0,3.75591000107804,3.75855358149186,3.76118313341577,3.76395856116503,3.76677400533878,3.77130204714741,3.77658592013046,3.78199900421131,3.7874657952884,3.79294039458754
38.7727633152043,3.75654747583104,3.75922932335938,3.76205260133407,3.76493506883013,3.76950463822597,3.77481737096592,3.7802576469428,3.78575107991251,3.79125257252999,3.79676106162909
98.7727633152043,3.75837511511611,3.76127363221892,3.76516311494396,3.77019607497256,3.77561406478245,3.78111541862705,3.78664439694677,3.79217143446787,3.79844651929891,3.8053446660576
158.772763315204,3.76108494655201,3.76582632054693,3.77121997800802,3.77672702774474,3.78227792300989,3.78783416278968,3.79356669810265,3.80042746927347,3.80725972427178,3.81330039277257
218.772763315204,3.76697404827077,3.77246183765133,3.7780203115518,3.78359974166456,3.78917140781675,3.79565558466525,3.80259958631983,3.80892811818281,3.81497622695642,3.8210351251456
278.772763315204,3.77385807740414,3.77945434917474,3.78505175811183,3.79099302839387,3.79789851102171,3.80463788008918,3.8107184227702,3.81678869666854,3.82324312345992,3.83106093862257
338.772763315204,3.78101198969999,3.78661869119783,3.79330018405366,3.80027968623909,3.8065263915827,3.81261629133734,3.8187195893383,3.82595399906804,3.8345571881074,3.8437011861763
398.772763315204,3.78880800851592,3.79574884164259,3.80239338113895,3.80850895878577,3.81462464033776,3.82129268022637,3.82931044741525,3.83828555817427,3.84749760039097,3.85685572258803
458.772763315204,3.79829593838698,3.80445788611498,3.810583805152,3.81672748357757,3.82416442768229,3.83295941397976,3.84212798218113,3.85135847457765,3.86086217060711,3.87042895334206
518.772763315204,3.80660048792943,3.81275497743966,3.8196280477444,3.82784132376379,3.83685619091086,3.84605094821471,3.85542227187242,3.86495710827411,3.87428406593465,3.88316242380453
578.772763315204,3.81514320471359,3.8227785785042,3.83165298821962,3.84081341577235,3.85005166579952,3.85954971020835,3.86906383443675,3.87814164366849,3.88680575880042,3.89538676007401
638.772763315204,3.82661509344749,3.8356611671325,3.84484075250193,3.85422861877862,3.86375924082039,3.87302581362194,3.88184572739933,3.89049476124784,3.89876224699966,3.90645196071757
698.772763315204,3.83972121376824,3.84897610215111,3.85846665464896,3.86791692640951,3.87693552379355,3.8855984461619,3.89411039509844,3.90206241363532,3.90997642470064,3.91924008725147
758.772763315204,3.85324457010232,3.86277459369262,3.87198342442322,3.8807454708836,3.88939320998866,3.89759827894668,3.90522524181176,3.91414851058982,3.9233802530787,3.93257791328226
818.772763315204,3.86697239657894,3.87593210943211,3.88459366468898,3.89303901824685,3.90092667358488,3.90908662027532,3.91834939276606,3.92755865841667,3.93675690612007,3.94525680525878
878.772763315204,3.87983632721054,3.88848253905711,3.8966269553034,3.9041903283683,3.91335516545818,3.92258291562123,3.93177678023732,3.94098211899272,3.94837924997899,3.9559195304314
938.772763315204,3.8921515434745,3.89997405635722,3.90837770496746,3.91763842427361,3.92684520455527,3.93604425790787,3.94428960868306,3.95169329600192,3.95926822752155,3.9668438822475
998.772763315204,3.90343992710014,3.91273139331971,3.92195625624993,3.93114810396637,3.94023851358186,3.94751633352842,3.95507060829552,3.9626485833113,3.97022823543581,3.97822368487946
1058.7727633152,3.91709497756009,3.92629807293925,3.93549847727146,3.94349018670264,3.95092874112466,3.95849313064832,3.96604865727541,3.97386412746042,3.9819429740268,3.99001668636614
1118.7727633152,3.93093840842613,3.9397715158029,3.94707991889706,3.95461774657899,3.96216602321041,3.96977402059188,3.97776391498235,3.98586212412967,3.99387873382155,4.00190050031357
1178.7727633152,3.94364022746645,3.95110283173133,3.95864824209836,3.9661774687469,3.97402605608457,3.98209698114673,3.9901261413316,3.99812922796577,4.00615452210639,4.01394528168551
1238.7727633152,3.95513845706182,3.96267559564157,3.97033298088627,3.97833102282261,3.98639572854383,3.99438651829282,4.00238630730279,4.01030599004407,4.01794288713012,4.02584173816304
1298.7727633152,3.96670300839727,3.9745992165473,3.98267419686201,3.99066578221446,3.99864415508894,4.00664804079249,4.01438300243384,4.02189429917832,4.03052307918824,4.04021250956974
1358.7727633152,3.97893530021868,3.9869661174661,3.99493311468387,4.00291289424909,4.01077258242044,4.01837092774484,4.02643324697759,4.03567146989454,4.04636208708687,4.05843866199339
1418.7727633152,3.99124280149982,3.99919903690834,4.00717869853136,4.01486379748403,4.02235798335787,4.03114803221877,4.04096976071446,4.05276731899759,4.06520131523278,4.07828964622096
1478.7727633152,4.00347841593149,4.01128296018124,4.01884420677007,4.02707171573387,4.03643634784576,4.04738063259141,4.05953785521886,4.07234363422216,4.08569282357801,4.09918400662788
1538.7727633152,4.01536102545395,4.02301973372123,4.03193895628655,4.04201287382878,4.05388989463327,4.0664098899928,4.07956234987086,4.09309492026902,4.10653099262435,4.12000223662055
1598.7727633152,4.02774931041181,4.03723920977113,4.04843986806234,4.06067914127235,4.07357427923629,4.08698818859071,4.10046033470229,4.11384908188352,4.12769114550365,4.14141361084549
1658.7727633152,4.04309068026516,4.05504868779026,4.06765613978199,4.08087286578867,4.09439256726441,4.10780553326499,4.12134374815188,4.13525603606229,4.14866653683367,4.16162131735942
1718.7727633152,4.06185021854038,4.07483585882717,4.08831482715831,4.10176409825316,4.11512332131458,4.12903460775242,4.14268477287122,4.15573176336295,4.16871042026359,4.17894639146993
1778.7727633152,4.0822084449914,4.09571126327228,4.10909892830678,4.12270604277398,4.13654321393688,4.14986154237634,4.16281846795382,4.17449393117665,4.18329342002307,4.19040096489059
1838.7727633152,4.10308489388256,4.1164126157526,4.13039485805099,4.14397551681498,4.1569348150087,4.1699161823428,4.17971268593345,4.18727233453815,4.19387090562086,4.19983565200044
1898.7727633152,4.12408387627957,4.13784892392948,4.15107697277588,4.16403652428135,4.17527194955833,4.18378480286065,4.19078611013782,4.19703087836636,4.20247544302365,4.2057580546966
1958.7727633152,4.14523044690957,4.15816766890241,4.17084061887639,4.18030544666809,4.18770407472157,4.19422730505876,4.20010041859063,4.20483084001945,4.20609301287603,4.20228752543675
2018.7727633152,4.16529212262923,4.17608762932423,4.18431660638582,4.19121280304707,4.1973924435151,4.20274667512892,4.20567249229672,4.20368431324781,4.20225782737029,4.20227174730581
2078.7727633152,4.18086583079665,4.18815564428841,4.1946128669256,4.20038290879185,4.20473760362257,4.20533208431092,4.20222136317356,4.20223355489245,4.20224313141919,4.20225268320797
2138.7727633152,4.19171540242376,4.19782661476312,4.20309218880555,4.20565873327943,4.20304971242445,4.20219879553763,4.20221151485448,4.20221991392168,4.20222607440633,4.20223171554117
2198.7727633152,4.20075607022923,4.20473239022023,4.20466058340048,4.20216980635228,4.20218102795597,4.20218977307088,4.20219911080776,4.20220450151938,4.20220826380231,4.2022114852849
2258.7727633152,4.20572679051913,4.20247828748034,4.20215537681961,4.20216697990657,4.20217587926351,4.20218132544601,4.20218639986928,4.20218914343768,4.20219108784289,4.20219278398627
2318.7727633152,4.20213319359801,4.20214674100804,4.20215467908278,4.20216245935181,4.20216772412672,4.20217081857834,4.20217362013294,4.20217511365335,4.2021761782183,4.20217711452919
2378.7727633152,4.20213731216835,4.20214672202222,4.20215148641865,4.20215602666232,4.20215893707066,4.20216063268468,4.20216215961802,4.20216298369954,4.20216357623859,4.20216410390261
2438.7727633152,4.20213799212809,4.20214361094639,4.20214628242819,4.20214878546248,4.20215036989378,4.20215130041976,4.20215214445093,4.20215260871839,4.20215294462773,4.20215324639049
2498.7727633152,4.20213553593008,4.20213862108988,4.20214006964014,4.20214143368553,4.2021423079224,4.2021428277324,4.20214330384602,4.20214356932149,4.20214376186787,4.20214393543123
2558.7727633152,4.20213101816485,4.2021326855582,4.20213347989446,4.20213423485228,4.20213472736111,4.20213502280473,4.20213529518801,4.20213544788259,4.20213555861165,4.20213565840284
2618.7727633152,4.20212995008399,4.20212840649307,4.20212738052242,4.20212724375582,4.20212752537429,4.20212769489988,4.20212785156211,4.20212793936086,4.20212800295737,4.20212806018217
2678.7727633152,4.20212208222389,4.20212096773185,4.20212045290139,4.20212045551753,4.20212061749676,4.2021207149833,4.20212080504265,4.20212085539358,4.20212089182699,4.20212092456268
2738.7727633152,4.20211463630096,4.20211405697988,4.20211382689512,4.20211386008546,4.20211395322334,4.202114009189,4.20211406082547,4.20211408962992,4.20211411046069,4.20211412916243
2798.7727633152,4.20210779583101,4.20210752867332,4.20210742444226,4.20210745171185,4.202107505125,4.20210753717324,4.20210756670975,4.20210758316574,4.20210759506471,4.20210760574545
2858.7727633152,4.20210138206404,4.20210125877173,4.20210120828165,4.20210122676288,4.20210125731924,4.20210127563848,4.20210129251223,4.20210130191035,4.20210130870658,4.20210131480779
2918.7727633152,4.20209525433119,4.20209519286014,4.20209516789908,4.20209518157582,4.20209519903267,4.20209520949636,4.20209521913327,4.20209522450176,4.20209522838456,4.20209523187099
2978.7727633152,4.20208934423071,4.20208931125863,4.2020893003005,4.20208931191178,4.20208932188148,4.20208932785815,4.20208933336322,4.20208933643094,4.20208933864993,4.20208934064271
3000,4.20208723115235,4.20208725275856,4.20208726410329,4.20208727677371,4.20208728506268,4.20208729003216,4.20208729460977,4.20208729716081,4.20208729900607,4.20208730066323
